word;type;score
abrutschen;NN;-0.0048
abrutschen;VVINF;-0.0048
abrutsches;NN;-0.0048
abrutschs;NN;-0.0048
abschaffen;VVINF;-0.0048
abschaffung;NN;-0.058
abschaffungen;NN;-0.058
abschätzig;ADJX;-0.0048
abschätzige;ADJX;-0.0048
abschätzigem;ADJX;-0.0048
abschätzigen;ADJX;-0.0048
abschätziger;ADJX;-0.0048
abschätzigere;ADJX;-0.0048
abschätzigerem;ADJX;-0.0048
abschätzigeren;ADJX;-0.0048
abschätzigerer;ADJX;-0.0048
abschätzigeres;ADJX;-0.0048
abschätziges;ADJX;-0.0048
abschätzigst;ADJX;-0.0048
abschätzigste;ADJX;-0.0048
abschätzigstem;ADJX;-0.0048
abschätzigsten;ADJX;-0.0048
abschätzigster;ADJX;-0.0048
abschätzigstes;ADJX;-0.0048
abschießen;VVINF;-0.0048
abschließen;VVINF;0.004
abschluß;NN;0.004
abschlüße;NN;0.004
abschlüßen;NN;0.004
abschlußes;NN;0.004
abschlußs;NN;0.004
abschreck;VVINF;-0.178
abschrecke;VVINF;-0.178
abschrecken;VVINF;-0.178
abschreckend;VVINF;-0.049
abschreckest;VVINF;-0.178
abschrecket;VVINF;-0.178
abschreckst;VVINF;-0.178
abschreckt;VVINF;-0.178
abschreckte;VVINF;-0.178
abschreckten;VVINF;-0.178
abschrecktest;VVINF;-0.178
abschrecktet;VVINF;-0.178
abschreckung;NN;-0.0048
abschreckungen;NN;-0.0048
abschreiben;VVINF;-0.1847
abschreibung;NN;-0.3345
abschreibungen;NN;-0.3345
abschuß;NN;-0.0048
abschwäch;VVINF;-0.0048
abschwäche;VVINF;-0.0048
abschwächen;VVINF;-0.0048
abschwächest;VVINF;-0.0048
abschwächet;VVINF;-0.0048
abschwächst;VVINF;-0.0048
abschwächt;VVINF;-0.0048
abschwächte;VVINF;-0.0048
abschwächten;VVINF;-0.0048
abschwächtest;VVINF;-0.0048
abschwächtet;VVINF;-0.0048
abschwächung;NN;-0.1935
abschwächungen;NN;-0.1935
absenken;VVINF;-0.0048
absenkung;NN;-0.3434
absenkungen;NN;-0.3434
absinken;VVINF;-0.3269
absolut;ADJX;0.2418
absolute;ADJX;0.2418
absolutem;ADJX;0.2418
absoluten;ADJX;0.2418
absoluter;ADJX;0.2418
absolutere;ADJX;0.2418
absoluterem;ADJX;0.2418
absoluteren;ADJX;0.2418
absoluterer;ADJX;0.2418
absoluteres;ADJX;0.2418
absolutes;ADJX;0.2418
absolutest;ADJX;0.2418
absoluteste;ADJX;0.2418
absolutestem;ADJX;0.2418
absolutesten;ADJX;0.2418
absolutester;ADJX;0.2418
absolutestes;ADJX;0.2418
abspalten;VVINF;-0.3099
abspaltung;NN;-0.0048
abspaltungen;NN;-0.0048
absperren;VVINF;-0.0048
absperrung;NN;-0.0048
absperrungen;NN;-0.0048
absteigen;VVINF;-0.4776
abstieg;NN;-0.3215
abstiege;NN;-0.3215
abstiegen;NN;-0.3215
abstieges;NN;-0.3215
abstiegs;NN;-0.3215
abstimm;VVINF;0.004
abstimme;VVINF;0.004
abstimmen;VVINF;0.004
abstimmest;VVINF;0.004
abstimmet;VVINF;0.004
abstimmst;VVINF;0.004
abstimmt;VVINF;0.004
abstimmte;VVINF;0.004
abstimmten;VVINF;0.004
abstimmtest;VVINF;0.004
abstimmtet;VVINF;0.004
abstimmung;NN;0.004
abstimmungen;NN;0.004
abstoß;NN;-0.0048
abstöße;NN;-0.0048
abstoßen;VVINF;-0.1796
abstößen;NN;-0.0048
abstoßend;ADJX;-0.5859
abstoßende;ADJX;-0.5859
abstoßendem;ADJX;-0.5859
abstoßenden;ADJX;-0.5859
abstoßender;ADJX;-0.5859
abstoßendere;ADJX;-0.5859
abstoßenderem;ADJX;-0.5859
abstoßenderen;ADJX;-0.5859
abstoßenderer;ADJX;-0.5859
abstoßenderes;ADJX;-0.5859
abstoßendes;ADJX;-0.5859
abstoßendst;ADJX;-0.5859
abstoßendste;ADJX;-0.5859
abstoßendstem;ADJX;-0.5859
abstoßendsten;ADJX;-0.5859
abstoßendster;ADJX;-0.5859
abstoßendstes;ADJX;-0.5859
abstoßes;NN;-0.0048
abstoßs;NN;-0.0048
abstrich;NN;-0.3201
abstriche;NN;-0.3201
abstrichen;NN;-0.3201
abstriches;NN;-0.3201
abstrichs;NN;-0.3201
abstumpf;VVINF;-0.0048
abstumpfe;VVINF;-0.0048
abstumpfen;VVINF;-0.0048
abstumpfest;VVINF;-0.0048
abstumpfet;VVINF;-0.0048
abstumpfst;VVINF;-0.0048
abstumpft;VVINF;-0.0048
abstumpfte;VVINF;-0.0048
abstumpften;VVINF;-0.0048
abstumpftest;VVINF;-0.0048
abstumpftet;VVINF;-0.0048
abstumpfung;NN;-0.0048
absturz;NN;-0.4739
abstürz;VVINF;-0.4697
abstürze;NN;-0.4739
abstürze;VVINF;-0.4697
abstürzen;NN;-0.4739
abstürzen;VVINF;-0.4697
absturzes;NN;-0.4739
abstürzest;VVINF;-0.4697
abstürzet;VVINF;-0.4697
absturzs;NN;-0.4739
abstürzt;VVINF;-0.4697
abstürzte;VVINF;-0.4697
abstürzten;VVINF;-0.4697
abstürztest;VVINF;-0.4697
abstürztet;VVINF;-0.4697
absurd;ADJX;-0.212
absurde;ADJX;-0.212
absurdem;ADJX;-0.212
absurden;ADJX;-0.212
absurder;ADJX;-0.212
absurdere;ADJX;-0.212
absurderem;ADJX;-0.212
absurderen;ADJX;-0.212
absurderer;ADJX;-0.212
absurderes;ADJX;-0.212
absurdes;ADJX;-0.212
absurdest;ADJX;-0.212
absurdeste;ADJX;-0.212
absurdestem;ADJX;-0.212
absurdesten;ADJX;-0.212
absurdester;ADJX;-0.212
absurdestes;ADJX;-0.212
absurdität;NN;-0.0048
absurditäten;NN;-0.0048
abtragen;VVINF;-0.0048
abwärtstrend;NN;-0.1941
abwechslungsreich;ADJX;0.5797
abwechslungsreiche;ADJX;0.5797
abwechslungsreichem;ADJX;0.5797
abwechslungsreichen;ADJX;0.5797
abwechslungsreicher;ADJX;0.5797
abwechslungsreichere;ADJX;0.5797
abwechslungsreicherem;ADJX;0.5797
abwechslungsreicheren;ADJX;0.5797
abwechslungsreicherer;ADJX;0.5797
abwechslungsreicheres;ADJX;0.5797
abwechslungsreiches;ADJX;0.5797
abwechslungsreichst;ADJX;0.5797
abwechslungsreichste;ADJX;0.5797
abwechslungsreichstem;ADJX;0.5797
abwechslungsreichsten;ADJX;0.5797
abwechslungsreichster;ADJX;0.5797
abwechslungsreichstes;ADJX;0.5797
abweichen;VVINF;-0.3422
abweichung;NN;-0.3462
abweichungen;NN;-0.3462
abweisen;VVINF;-0.0048
abweisung;NN;-0.0048
abweisungen;NN;-0.0048
abwert;VVINF;-0.4521
abwerte;VVINF;-0.4521
abwerten;VVINF;-0.4521
abwertest;VVINF;-0.4521
abwertet;VVINF;-0.4521
abwertete;VVINF;-0.4521
abwerteten;VVINF;-0.4521
abwertetest;VVINF;-0.4521
abwertetet;VVINF;-0.4521
abwertte;VVINF;-0.4521
abwertten;VVINF;-0.4521
abwerttest;VVINF;-0.4521
abwerttet;VVINF;-0.4521
abwertung;NN;-0.3283
abwertungen;NN;-0.3283
abzocke;NN;-0.0048
achtlos;ADJX;-0.0048
achtlose;ADJX;-0.0048
achtlosem;ADJX;-0.0048
achtlosen;ADJX;-0.0048
achtloser;ADJX;-0.0048
achtlosere;ADJX;-0.0048
achtloserem;ADJX;-0.0048
achtloseren;ADJX;-0.0048
achtloserer;ADJX;-0.0048
achtloseres;ADJX;-0.0048
achtloses;ADJX;-0.0048
achtlosest;ADJX;-0.0048
achtloseste;ADJX;-0.0048
achtlosestem;ADJX;-0.0048
achtlosesten;ADJX;-0.0048
achtlosester;ADJX;-0.0048
achtlosestes;ADJX;-0.0048
achtlosigkeit;NN;-0.0048
addier;VVINF;0.004
addiere;VVINF;0.004
addieren;VVINF;0.004
addierest;VVINF;0.004
addieret;VVINF;0.004
addierst;VVINF;0.004
addiert;VVINF;0.004
addierte;VVINF;0.004
addierten;VVINF;0.004
addiertest;VVINF;0.004
addiertet;VVINF;0.004
adrett;ADJX;0.1987
adrette;ADJX;0.1987
adrettem;ADJX;0.1987
adretten;ADJX;0.1987
adretter;ADJX;0.1987
adrettere;ADJX;0.1987
adretterem;ADJX;0.1987
adretteren;ADJX;0.1987
adretterer;ADJX;0.1987
adretteres;ADJX;0.1987
adrettes;ADJX;0.1987
adrettest;ADJX;0.1987
adretteste;ADJX;0.1987
adrettestem;ADJX;0.1987
adrettesten;ADJX;0.1987
adrettester;ADJX;0.1987
adrettestes;ADJX;0.1987
affäre;NN;-0.1794
affären;NN;-0.1794
aggression;NN;-0.4889
aggressionen;NN;-0.4889
aggressiv;ADJX;-0.4484
aggressive;ADJX;-0.4484
aggressivem;ADJX;-0.4484
aggressiven;ADJX;-0.4484
aggressiver;ADJX;-0.4484
aggressivere;ADJX;-0.4484
aggressiverem;ADJX;-0.4484
aggressiveren;ADJX;-0.4484
aggressiverer;ADJX;-0.4484
aggressiveres;ADJX;-0.4484
aggressives;ADJX;-0.4484
aggressivität;NN;-0.1958
aggressivitäten;NN;-0.1958
aggressivst;ADJX;-0.4484
aggressivste;ADJX;-0.4484
aggressivstem;ADJX;-0.4484
aggressivsten;ADJX;-0.4484
aggressivster;ADJX;-0.4484
aggressivstes;ADJX;-0.4484
aggressor;NN;-0.3155
aggressoren;NN;-0.3155
aggressors;NN;-0.3155
agil;ADJX;0.1959
agile;ADJX;0.1959
agilem;ADJX;0.1959
agilen;ADJX;0.1959
agiler;ADJX;0.1959
agilere;ADJX;0.1959
agilerem;ADJX;0.1959
agileren;ADJX;0.1959
agilerer;ADJX;0.1959
agileres;ADJX;0.1959
agiles;ADJX;0.1959
